MAGNET_X, TEMP_HUM_timestamp, MAGNET_Z, MAGNET_Y, ACC_Y, ACC_X, GYRO_Y_timestamp, ACC_Z, PRESSURE, MAGNET_Y_timestamp, GYRO_X_timestamp, ACC_Y_timestamp, TEMP_PRESS, TEMP_PRESS_timestamp, TEMP_HUM, HUMIDITY, MAGNET_Z_timestamp, PRESSURE_timestamp, MAGNET_X_timestamp, ACC_X_timestamp, GYRO_Z_timestamp, HUMIDITY_timestamp, assetName, ACC_Z_timestamp, GYRO_X, GYRO_Y, GYRO_Z
3.6715274, 1645622621968, 14.6073475, -28.50579, 0.005091364, 0.15660122, 1645622621968, 0.979905, 997.979, 1645622621968, 1645622621968, 1645622621968, 34.75625, 1645622621968, 36.281677, 20.749544, 1645622621968, 1645622621968, 1645622621968, 1645622621968, 1645622621968, 1645622621968, asset-sensehat, 1645622621968, -0.60149467, -0.0832867, 0.05926078
3.7509112, 1645622622220, 14.4337015, -28.466122, 0.0041215806, 0.15878634, 1645622622220, 0.995989, 998.0171, 1645622622220, 1645622622220, 1645622622220, 34.75625, 1645622622220, 36.300003, 20.77094, 1645622622220, 1645622622220, 1645622622220, 1645622622220, 1645622622220, 1645622622220, asset-sensehat, 1645622622220, 0.69007015, 0.07962151, -0.059871648
3.6567311, 1645622622472, 14.256377, -28.436687, 0.01066762, 0.16000031, 1645622622472, 0.98721594, 997.9968, 1645622622472, 1645622622472, 1645622622472, 34.75625, 1645622622472, 36.300003, 20.924282, 1645622622472, 1645622622472, 1645622622472, 1645622622472, 1645622622472, 1645622622472, asset-sensehat, 1645622622472, -0.70717436, -0.08389756, 0.060787946
3.5756307, 1645622622730, 14.285596, -28.438587, 0.0065460396, 0.1602431, 1645622622730, 0.98014873, 997.9553, 1645622622730, 1645622622730, 1645622622730, 34.754166, 1645622622730, 36.281677, 20.756676, 1645622622730, 1645622622730, 1645622622730, 1645622622730, 1645622622730, 1645622622730, asset-sensehat, 1645622622730, 0.7349687, 0.09855834, -0.06262054
3.4786563, 1645622622972, 14.200529, -28.540752, 0.005818702, 0.16412778, 1645622622972, 0.99135876, 997.9949, 1645622622972, 1645622622972, 1645622622972, 34.75833, 1645622622972, 36.31832, 20.845829, 1645622622972, 1645622622972, 1645622622972, 1645622622972, 1645622622972, 1645622622972, asset-sensehat, 1645622622972, -0.74443716, -0.1019181, 0.06567487
3.4508426, 1645622623211, 13.78237, -28.484827, 0.0043640267, 0.16558453, 1645622623211, 0.9852663, 997.99585, 1645622623211, 1645622623211, 1645622623211, 34.75, 1645622623211, 36.31832, 20.831566, 1645622623211, 1645622623211, 1645622623211, 1645622623211, 1645622623211, 1645622623211, asset-sensehat, 1645622623211, 0.7624577, 0.09642032, -0.06628574
3.2807062, 1645622623450, 13.815752, -28.418745, 0.0041215806, 0.16121428, 1645622623450, 0.9930647, 997.99536, 1645622623450, 1645622623450, 1645622623450, 34.745834, 1645622623450, 36.26336, 21.049095, 1645622623450, 1645622623450, 1645622623450, 1645622623450, 1645622623450, 1645622623450, asset-sensehat, 1645622623450, -0.72458404, -0.09947463, 0.06323141
3.2759104, 1645622623693, 13.646354, -28.44521, 0.0046064723, 0.15805796, 1645622623693, 0.98599744, 997.95776, 1645622623693, 1645622623693, 1645622623693, 34.752083, 1645622623693, 36.281677, 20.838696, 1645622623693, 1645622623693, 1645622623693, 1645622623693, 1645622623693, 1645622623693, asset-sensehat, 1645622623693, 0.7346633, 0.10161266, -0.060177088
3.1729066, 1645622623931, 13.79443, -28.285946, 0.010910066, 0.15174536, 1645622623931, 0.979905, 998.03955, 1645622623931, 1645622623931, 1645622623931, 34.754166, 1645622623931, 36.336647, 20.995605, 1645622623931, 1645622623931, 1645622623931, 1645622623931, 1645622623931, 1645622623931, asset-sensehat, 1645622623931, -0.8302637, -0.10100181, 0.056206465
3.2052743, 1645622624182, 14.092933, -28.33845, 0.0075158235, 0.15878634, 1645622624182, 0.982342, 998.03906, 1645622624182, 1645622624182, 1645622624182, 34.754166, 1645622624182, 36.31832, 21.066927, 1645622624182, 1645622624182, 1645622624182, 1645622624182, 1645622624182, 1645622624182, asset-sensehat, 1645622624182, 0.8513385, 0.102528974, -0.055901032
3.2420485, 1645622624434, 14.1508465, -28.316738, 0.011394958, 0.1505314, 1645622624434, 0.97844285, 998.04395, 1645622624434, 1645622624434, 1645622624434, 34.760418, 1645622624434, 36.31832, 20.867226, 1645622624434, 1645622624434, 1645622624434, 1645622624434, 1645622624434, 1645622624434, asset-sensehat, 1645622624434, -0.8226279, -0.08939537, 0.05834449
3.1417127, 1645622624686, 14.416679, -28.334957, 0.0043640267, 0.17286831, 1645622624686, 0.99184614, 998.04395, 1645622624686, 1645622624686, 1645622624686, 34.764584, 1645622624686, 36.336647, 20.895754, 1645622624686, 1645622624686, 1645622624686, 1645622624686, 1645622624686, 1645622624686, asset-sensehat, 1645622624686, 0.83515066, 0.060379267, -0.05254127
3.2198644, 1645622624936, 14.404489, -28.346928, 0.062066156, 0.24764843, 1645622624936, 1.0591065, 997.9863, 1645622624936, 1645622624936, 1645622624936, 34.764584, 1645622624936, 36.354965, 21.04553, 1645622624936, 1645622624936, 1645622624936, 1645622624936, 1645622624936, 1645622624936, asset-sensehat, 1645622624936, 0.7991096, 0.0606847, -0.050097812
3.067576, 1645622625182, 14.253189, -28.284904, 0.002909351, 0.16000031, 1645622625182, 1.0517956, 998.0364, 1645622625182, 1645622625182, 1645622625182, 34.764584, 1645622625182, 36.336647, 21.72309, 1645622625182, 1645622625182, 1645622625182, 1645622625182, 1645622625182, 1645622625182, asset-sensehat, 1645622625182, 0.90020776, 0.062211864, -0.046127185
3.032197, 1645622625434, 14.086738, -28.360832, 0.029335955, 0.17456785, 1645622625434, 1.0276695, 998.0112, 1645622625434, 1645622625434, 1645622625434, 34.766666, 1645622625434, 36.300003, 21.013435, 1645622625434, 1645622625434, 1645622625434, 1645622625434, 1645622625434, 1645622625434, asset-sensehat, 1645622625434, -0.90906537, -0.056714077, 0.048265215
